ITEM,CBA,OBM,ATIVIDADE,TEM ÁREA OPERACIONAL DELIMITADA?,OBM_NOMECOMPLETO,DATA_DE_CRIAÇÃO,POPULACAO_DENTRO_DA_AREA_OPERACIONAL_hab,AREA_km2,DENSIDADE_DEMOGR_hab_km2,VIATURAS OPERACIONAIS,VIATURAS ADMINISTRATIVAS,DIVISA DE ÁREA,ENDEREÇO,Nº,BAIRRO,CEP,MUNICÍPIO,TELEFONE,LONGITUDE (x),LATITUDE (Y),G MAPS,ICONE_MAPA,LATITUDE,LONGITUDDE,UTM LATITUDE,UTM LONGITUDE,UTM ZONE
91,CBA 07,DBM 4/10,FIM,SIM,DBM 4/10 - MANGARATIBA,26/09/2014,34242,"459,7",74,,,,R. Saturno,KM 429,MANGARATIBA,23.860-000,MANGARATIBA,21 37899026,"44°02'26.90""","22°56'18.40""","-22.93833, -44.04065",7_blue,-22938336,-44040652,"7462985,43","598363,27",23K
92,CBA 07,26º GBM,FIM,SIM,26º GBM - PARATY,17/07/1975,28716,"561,2",51,,,,AVENIDA ROBERTO DA SILVEIRA,1768,PARQUE YPÊ PARATY,23.970-000,PARATY,24 33718705,"44°43'41.10""","23°13'17.46""","-23.22183, -44.72804",7_blue,-23221839,-44728048,"7431896,34","527824,38",23K
93,CBA 07,DBM 1/26,FIM,SIM,DBM 1/26 - MAMBUCABA,10/07/1994,27131,"515,3",53,,,,RODOVIA RIO-SANTOS,S/N,VILA OPERÁRIA DE MAMBUCABA,23908-000,PARATY,24 33626829,"44°32'34.90""","23°01'44.30""","-23.02909, -44.54285",7_blue,-23029099,-44542856,"7453185,88","546839,11",23K
95,CBA 08,GBS,FIM,SIM,GRUPAMENTO DE BUSCA E SALVAMENTO - GBS,23/09/1985,125198,"37,9",3303,,,,AVENIDA AYRTON SENNA,2001 FUNDOS,BARRA DA TIJUCA,22.775-000,RIO DE JANEIRO,21 23334402,"43°22'07.94""","22°59'33.31""","-22.99303, -43.36849",8_blue,-22992952,-43368543,"7456330,33","667218,69",23K
96,CBA 08,PABM 1/GBS,FIM,SIM,PABM 1/GBS - RECREIO DOS BANDEIRANTES,08/08/2003,141387,"81,5",1735,,,,AVENIDA GLAUCIO GIL,S/N,RECREIO DOS BANDEIRANTES,22.795-070,RIO DE JANEIRO,21 23334427,"43°27'28.97""","23°01'23.35""","-23.02329, -43.45819",8_blue,-23023296,-43458195,"7453069,84","657992,73",23K
97,CBA 08,PABM 10/GBS,FIM,SIM,PABM 10/GBS - BARRA DA TIJUCA,31/03/2010,82788,"15,3",5411,,,,AVENIDA MINISTRO IVAN LINS,516,BARRA DA TIJUCA,22.620-110,RIO DE JANEIRO,21 23336363,"43°17'57.29""","23°00'45.88""","-23.01264, -43.29914",8_blue,-23012646,-43299142,"7454068,69","674308,18",23K
98,CBA 08,1º GSFMA,FIM,SIM,1º GSFMA - ALTO DA BOA VISTA,11/07/1990,13906,38,366,,,,RUA ALTO DA BOA VISTA,196,ALTO DA BOA VISTA,20.531-610,RIO DE JANEIRO,21 23336329,"43°19'40.49""","22°57'58.22""","-22.966249, -43.278006",8_blue,-22966024,-43277566,"7459205,52","676580,44",23K
99,CBA 08,2º GSFMA,FIM,SIM,2º GSFMA - MAGÉ,14/03/1991,264913,"718,4",369,,,,ESTRADA DO CONTORNO BR 493,"KM 23,5",PARQUE IRIRI,25.900-000,MAGÉ,21 26336910,"43°04'01.77""","22°39'26.65""","-22.657496, -43.066946",8_blue,-22657161,-43067094,"7493140,74","698610,56",23K
100,CBA 08,GTSAI,FIM,NÃO,GTSAI - SÃO CRISTÓVÃO,14/05/2003,0,0,0,,,,AVENIDA BARTOLOMEU DE GUSMÃO,850,SÃO CRISTOVÃO,20941-160,RIO DE JANEIRO,21 23324666,"43°12'56.77""","22°52'46.20""","-22.907522, -43.227841",8_blue,-22907522,-43227841,"7468725,51","683030,4",23K
101,CBA 08,GOPP,FIM,SIM,GOPP - DUQUE DE CAXIAS,11/10/2003,459154,"423,3",1085,,,,RODOVIA WASHINGTON LUIS,"KM113,7",CAMPOS ELÍSEOS,25.225-015,DUQUE DE CAXIAS,21 27770624,"43°17'09.86""","22°42'47.25""","-22.71294, -43.28726",8_blue,-22712948,-43287262,"7487240,84","675911,47",23K
102,CBA 08,GOA,FIM,NÃO,GOA - RECREIO DOS BANDEIRANTES,29/10/2003,0,0,0,,,,"AVENIDA AYRTON SENNA, HANGAR 42",2541,BARRA DA TIJUCA,22.775-001,RIO DE JANEIRO,21 23334425,"43°22'10.27""","22°59'07.44""","-22.98645, -43.36614",8_blue,-2298645,-43366149,"7457047,57","667472,14",23K
103,CBA 08,DBM 1/GOA,FIM,NÃO,DBM 1/GOA - LAGOA,05/05/2004,0,0,0,,,,AVENIDA BORGES DE MEDEIROS - LAGOA,1444,LAGOA,22.470-000,RIO DE JANEIRO,21 23322948,,,"-22.9744, -43.21807",8_blue,-22974406,-43218074,"7458204,51","682669,53",23K
104,CBA 08,GPREVE,FIM,NÃO,GPREVE,30/05/2008,0,0,0,,,,RUA ARISTIDES CAIRE,74,MÉIER,20751000,RIO DE JANEIRO,,,,"-22.914056, -43.230639",,,,,,
106,CBA 09,3º GBM,FIM,SIM,3º GBM - NITERÓI,24/08/1917,395225,50,7905,,,,RUA MARQUÊS DO PARANÁ,134,CENTRO,24.030-211,NITERÓI,21 27192559,"43°06'50.83""","22°53'31.91""","-22.89207, -43.11396",9_blue,-22892074,-4311396,"7467188,6","693462,12",23K
