ITEM,CBA,OBM,ATIVIDADE,TEM ÁREA OPERACIONAL DELIMITADA?,OBM_NOMECOMPLETO,DATA_DE_CRIAÇÃO,POPULACAO_DENTRO_DA_AREA_OPERACIONAL_hab,AREA_km2,DENSIDADE_DEMOGR_hab_km2,VIATURAS OPERACIONAIS,VIATURAS ADMINISTRATIVAS,DIVISA DE ÁREA,ENDEREÇO,Nº,BAIRRO,CEP,MUNICÍPIO,TELEFONE,LONGITUDE (x),LATITUDE (Y),G MAPS,ICONE_MAPA,LATITUDE,LONGITUDDE,UTM LATITUDE,UTM LONGITUDE,UTM ZONE
20,CBA 01,DBM 2/13,FIM,SIM,DBM 2/13 - SEPETIBA,,97637,"27,7",3525,,,,PRAIA DO RENCÔNCAVO,S/Nº,SEPETIBA,23.530-463,RIO DE JANEIRO,21 23334234,,,"-22.985813, -43.699462",m_blue,-22985763,-43699515,"7457465,45","633297,67",23K
21,CBA 01,DBM 3/13,FIM,SIM,DBM 3/13 - GUARATIBA,08/08/2003,94814,"209,3",453,,,,ESTRADA DA MATRIZ,4485,GUARATIBA,23.020-710,RIO DE JANEIRO,21 23336829,"43°35'32.34""","22°59'40.86""","-22.99494, -43.59233",1_blue,-22994947,-43592337,"7456347,16","644274,98",23K
22,CBA 01,17º GBM,FIM,SIM,17º GBM - COPACABANA,03/04/1920,210788,"7,6",27735,,,,RUA XAVIER DA SILVEIRA,120,COPACABANA,22.061-010,RIO DE JANEIRO,21 23338662,43°11'36.75,"22°58'33.45""","-22.976320, -43.193469",10_blue,-22976105,-43193607,"7457985,69","685175,96",23K
23,CBA 01,19º GBM,FIM,SIM,19º GBM - ILHA DO GOVERNADOR,04/02/1951,200147,"36,5",5483,,,,ESTRADA DO GALEÃO,S/Nº,ILHA DO GOVERNADOR,21.940-010,RIO DE JANEIRO,21 23346511,"43°11'51.32""","22°48'26.87""","-22.807553, -43.197548",1_blue,-22807498,-43197415,"7476661,48","685014,08",23K
24,CBA 01,DBM 1/19,FIM,SIM,DBM 1/19 - ILHA DO FUNDÃO,29/10/2003,98995,"7,5",13199,,,,RUA MARIA DOLORES LINS DE ANDRADE,230,ILHA DO FUNDÃO,21.910-240,RIO DE JANEIRO,21 23347889,"43°13'51.18""","22°50'18.66""","-22.838517, -43.230935",1_blue,-2283839,-4323077,"7473976,32","680178,57",23K
25,CBA 01,24º GBM,FIM,SIM,24º GBM - IRAJÁ,17/11/1987,335808,"22,7",14793,,,,AVENIDA BRASIL,19001,IRAJÁ,21.530-000 ,RIO DE JANEIRO,21 33723121,"43°20'04.93""","22°49'34.84""","-22.826456, -43.334673",1_blue,-22826816,-43334807,"7474687,9","670885,38",23K
26,CBA 01,DBM 1/24,FIM,SIM,DBM 1/24 - RICARDO DE ALBUQUERQUE,23/01/2006,172217,"12,1",14233,,,,RUA CAPITÃO MÁRIO BARBEDO,S/Nº,RICARDO DE ALBUQUERQUE,21.625-130,RIO DE JANEIRO,21 23335607,"43°23'50.52""","22°50'13.65""","-22.837108, -43.397426",1_blue,-22837114,-43397421,"7473618,74","664446,23",23K
27,CBA 01,DBM 2/24,FIM,SIM,DBM 2/24 - PARADA DE LUCAS,30/06/1987,148522,"11,9",12481,,,,AVENIDA BRASIL,13350,PARADA DE LUCAS,21.012-351,RIO DE JANEIRO,21 23335231,"43°17'31.90""","22°48'52.62""","-22.81471, -43.29205",1_blue,-22814711,-43292051,"7475978,18","675289,49",23K
28,CBA 01,DBM 3/24,FIM,SIM,DBM 3/24 - GUADALUPE,,183742,"28,6",6425,,,,AVENIDA BRASIL,23800,GUADALUPE,21.660-001,RIO DE JANEIRO,21 23335740,"43°22'55.26""","22°50'50.84""","-22.847782, -43.383064",10_blue,-22847445,-43381809,"7472457,32","666035,98",23K
29,CBA 01,28º GBM,FIM,SIM,28º GBM - PENHA,14/02/1991,241077,"15,9",15162,,,,AVENIDA NOSSA SENHORA DA PENHA,25,PENHA,21.070-390,RIO DE JANEIRO,21 23347864,"43°16'43.75""","22°50'34.85""","-22.842990, -43.278725",1_blue,-22842995,-43278851,"7472830,49",676608,23K
31,CBA 02,6º GBM,FIM,SIM,6º GBM - NOVA FRIBURGO,31/07/1976,174376,"788,1",221,,,,"PRAÇA DA BANDEIRA, CENTRO",1027,CENTRO,28.540-000,NOVA FRIBURGO,22 25331574,"42°32'00.79""","22°16'11.92""","-22.269996, -42.533815",2_blue,-22270127,-42533681,"7535199,44","754146,91",23K
32,CBA 02,DBM 1/6,FIM,SIM,DBM 1/6 - CORDEIRO,07/09/1983,29461,"530,8",56,,,,AV. PRESIDENTE VARGAS,S/Nº,CENTRO,28.540-000,CORDEIRO,22 25512169,"42º21'25.39""","22°01'39.82""","-22.026067, -42.360354",2_blue,-22025993,-42360388,"7561940,92","772483,05",23K
33,CBA 02,DBM 2/6,FIM,SIM,DBM 2/6 - CACHOEIRAS DE MACACU,26/08/1980,283239,"893,3",317,,,,RUA JOSÉ DO PATROCÍNIO,156,PARQUE SANTA LUZIA,28.680-000,CACHOEIRAS DE MACACU,22 26491191,"42°39'26.12""","22°28'07.87""","-22.468892, -42.657201",2_blue,-22468963,-42657206,"7513379,57","741069,89",23K
34,CBA 02,DBM 3/6,FIM,SIM,DBM 3/6 - BOM JARDIM,03/05/2002,35418,"821,8",43,,,,RJ 146,km 01,SÃO MIGUEL,28.660-000,BOM JARDIM,22 25662740,"42°25'25.72""","22°9'51.50""","-22.164222, -42.420861",2_blue,-22164353,-42420868,"7546721,78","765977,03",23K
35,CBA 02,DBM 4/6,FIM,SIM,DBM 4/6 - CANTAGALO,21/07/2001,28801,"916,2",31,,,,RJ 164,km 0,PRAÇA MIGUEL SANTOS,28.500-000,CANTAGALO,22 25555061,"42°20'12.60""","21°59'35.17""","-21.977792, -42.357803",2_blue,-21977873,-42357962,"7567266,9","772825,76",23K
36,CBA 02,PABM 1/6,FIM,SIM,PABM 1/6 - SANTA MARIA MADALENA,,,,,,,,,,,,,,,,,,,,,,
37,CBA 02,15º GBM,FIM,SIM,15º GBM - PETRÓPOLIS,08/09/1994,222508,"199,1",1118,,,,AVENIDA BARÃO DE RIO BRANCO,1957,RETIRO,25.680-270,PETRÓPOLIS,22 22911800,"43°10'39.27""","22°29'16.53""","-22.487891, -43.177912",2_blue,-22488049,-43177535,"7512010,46","687488,42",23K
38,CBA 02,DBM 1/15,FIM,SIM,DBM 1/15 - TRÊS RIOS,07/08/1978,131905,"1007,5",131,,,,RUA TIRADENTES,287,CANTAGALO,25.805-170,TRÊS RIOS,22 22554832,"43°12'49.65""","22°06'56.23""","-22.117630, -43.216322",2_blue,-22117953,-43216117,"7553038,47","684002,69",23K
39,CBA 02,DBM 2/15,FIM,SIM,DBM 2/15 - ITAIPAVA,29/06/2000,79458,"908,9",87,,,,ESTRADA UNIÃO INDUSTRIAL,9998,ITAIPAVA,27.730-731,PETRÓPOLIS,22 22321385,"43°07'55.30""","22°22'53.84""","-22.405356, -43.135688",2_blue,-22405342,-43135894,"7521116,18","691887,17",23K
40,CBA 02,16º GBM,FIM,SIM,16º GBM - TERESÓPOLIS,10/01/1976,154911,"661,4",234,,,,RUA GUANDU,680,PIMENTEIRA,25.953-000,TERESÓPOLIS,22 26414106,"42°59'03.79""","22°24'57.97""","-22.416907, -42.983467",2_blue,-22416014,-42983959,"7519732,37","707515,62",23K
41,CBA 02,DBM 1/16,FIM,SIM,DBM 1/16 - CARMO,29/01/1996,41874,"1242,3",34,,,,RUA SENADOR DANTAS,548,CARMO,28.640-000,CARMO,22 25372605,"42°36'18.27""","21°55'53.23""","-21.937070, -42.607947",2_blue,-21932732,-42605626,"7572687,64","747317,95",23K
42,CBA 02,DBM 2/16,FIM,SIM,DBM 2/16 - BONSUCESSO,21/08/2002,23449,530,44,,,,RJ 130,KM 28,BONSUCESSO,25.995-290,TERESÓPOLIS,22 26412171,"42°36'18.29""","21°55'53.26""","-22.274517, -42.795559",2_blue,-2227462,-42795445,"7535118,92","727155,52",23K
44,CBA 03,7º GBM,FIM,SIM,7º GBM - BARRA MANSA,31/07/1976,198087,"899,7",220,,,,AVENIDA HOMERO LEITE,352,SAUDADE,27.400-000,BARRA MANSA,24 33261171,"44°11'40.98""","22°31'15.49""","-22.53082, -44.18622",3_blue,-2253082,-44186224,"7508189,07","583684,45",23K
45,CBA 03,22º GBM,FIM,SIM,22º GBM - VOLTA REDONDA,23/11/1979,293602,"448,3",655,,,,RUA GOVERNADOR LUIZ MONTEIRO PORTELA,346,ATERRADO,27.293-080,VOLTA REDONDA,24 33455140,"44º05'15.23""","22°30'24.54""","-22.507030, -44.087195",3_blue,-22506801,-44087493,"7510789,43","593854,23",23K
46,CBA 03,DBM 1/22,FIM,SIM,DBM 1/22 - BARRA DO PIRAI,18/07/1976,84562,"533,2",159,,,,RUA ANGÉLICA,250,SANTANA,27.120-120,BARRA DO PIRAÍ,24 24426721,"43°49'41.46""","22°27'53.94""","-22.464872, -43.828080",3_blue,-22464926,-43828261,"7515239,7","620555,67",23K
47,CBA 03,DBM 2/22,FIM,SIM,DBM 2/22 - VALENCA,14/12/1994,79572,"1842,4",43,,,,RUA DOM RODOLFO PENA,359,MONTE D'OURO,27.600-000,VALENÇA,24 24383415,"43°42'33.07""","22°14'31.13""","-22.24196, -43.70913",3_blue,-22241968,-43709136,"7539822,9","633024,93",23K
48,CBA 03,DBM 3/22,FIM,SIM,DBM 3/22 - MIGUEL PEREIRA,26/03/2002,51863,"596,2",87,,,,RUA EUGÊNIO ALBINO DOS SANTOS,31,VILA SELMA,26.900-000,MIGUEL PEREIRA,24 24838657,"43°29'22.35""","22°28'08.39""","-22.46891, -43.4893",3_blue,-22468912,-43489307,"7514486,32",655430,23K
49,CBA 03,DBM 4/22,FIM,SIM,DBM 4/22 - PIRAI,26/03/2002,20416,"606,2",34,,,,RODOVIA PRESIDENTE DUTRA,232,VILA SÃO JOAQUIM,27.175-000,PIRAÍ,24 24317357,"43°54'02.91""","22°38'01.50""","-22.67819, -43.87726",3_blue,-22678064,-43877331,"7491682,07","615329,09",23K
50,CBA 03,DBM 5/22,FIM,SIM,DBM 5/22 - VASSOURAS,29/06/2004,38507,"567,7",68,,,,PRAÇA DUQUE DE CAXIAS,60,CENTRO,27.700-000,VASSOURAS,24 24716856,"43°39'40.97""","22°24'27.63""","-22.40189, -43.65566",3_blue,-2240189,-43655662,"7522069,6","638378,39",23K
51,CBA 03,DBM 6/22,FIM,SIM,DBM 6/22 - MENDES,12/01/2015,25689,"192,4",134,,,,RUA CAPITÃO JULIO VIEIRA,410,CENTRO,26.700-000,MENDES,24 24651310,,,"-22.52807, -43.72003",3_blue,-22528074,-43720031,"7508157,37","631632,53",23K
52,CBA 03,23º GBM,FIM,SIM,23º GBM - RESENDE,15/07/1976,127637,"895,3",143,,,,AVENIDA MARCÍLIO DIAS,550,JARDIM JALISCO,27.500-000,RESENDE,24 33545987,"44°27'11.34""","22°28'00.88""","-22.46474, -44.45801",3_blue,-22464742,-44458014,"7515630,38","555760,73",23K
53,CBA 03,DBM 1/23,FIM,SIM,DBM 1/23 - ITATIAIA,26/08/2016,33466,"589,1",57,,,,AVENIDA LAURO MENDES BERNARDES,700,JARDIM ITATIAIA,27.580-000,ITATIAIA,24 33524364,,,"-22.4878, -44.56533",3_blue,-22487809,-44565337,"7513112,94","544711,52",23K
55,CBA 04,5º GBM,FIM,SIM,5º GBM - CAMPOS DOS GOYTACAZES,31/07/1976,281733,"2525,3",112,,,,AVENIDA RUI BARBOSA,1027,CENTRO,28.013-000,CAMPOS DOS GOYTACAZES,22 27243237,"41°18'0.61""","21°45'32.66""","-21.75646, -41.32021",4_blue,-21756463,-41320213,"7592327,27",260051,24K
56,CBA 04,DBM 1/5,FIM,SIM,DBM 1/5 - GUARUS,07/07/1994,29461,"2158,5",14,,,,RUA ALCY FERREIRA,182,CODIN,28.090-410,CAMPOS DOS GOYTACAZES,22 27315528,"41°16'53.91""","21°42'35.74""","-21.70997, -41.28287",4_blue,-21709974,-41282874,"7597533,32","263837,99",24K
57,CBA 04,DBM 2/5,FIM,SIM,DBM 2/5 - SAO FIDÉLIS,03/03/1977,32010,"866,8",37,,,,AVENIDA JOSÉ PERLINGEIRO DE ABREU,93,SÃO FIDÉLIS,28400-000,SÃO FIDÉLIS,22 27582171,"41°44'53.88""","21°38'58.32""","-21.650765, -41.746625",4_blue,-21650492,-41746667,"7603342,54","215717,47",24K
58,CBA 04,DBM 3/5,FIM,SIM,DBM 3/5 - SÃO JOÃO DA BARRA,12/09/1994,30551,506,60,,,,AVENIDA ATLÂNTICA,S/N,ATAFONA,20.200-000,SÃO JOÃO DA BARRA,22 27410752,"41°01'04.43""","21°38'44.80""","-21.64491, -41.0174",4_blue,-21644918,-4101741,"7605118,61","291215,2",24K
59,CBA 04,DBM 4/5,FIM,SIM,DBM 4/5 - CAMBUCI,11/03/2005,11786,"387,1",30,,,,AVENIDA JOSÉ DE SOUSA FARIA,278,FLORESTA,28.430-000,CAMBUCI,22 27672651,"41°54'11.93""","21°34'28.06""","-21.5771, -41.90941",4_blue,-21577101,-41909414,"7611166,01","198710,48",24K
60,CBA 04,21º GBM,FIM,SIM,21º GBM - ITAPERUNA,14/05/2003,103696,"1392,6",74,,,,AVENIDA SANTOS DUMONT,40,PE. HUMBERTO LINDELAUF,28.300-000,ITAPERUNA,22 38245945,"41°53'55.02""","21°12'08.34""","-21.219958, -41.884277",4_blue,-21219909,-41884248,"7650784,85","200590,82",24K
61,CBA 04,DBM 1/21,FIM,SIM,DBM 1/21 - ITAOCARA,28/10/1980,40502,"859,5",47,,,,RUA SÃO JOSÉ,401,CENTRO,28.570-000,ITAOCARA,22 38619181,"42°04'48.58""","21°40'08.48""","-21.670043, -42.079506",4_blue,-21670049,-42079506,"7600847,13","802244,06",23K
62,CBA 04,DBM 2/21,FIM,SIM,DBM 2/21 - SANTO ANTÔNIO DE PADUA,10/07/2013,66369,"824,8",80,,,,ROD.PREF.RENATO DE ALVIN PADILHA,2698,ALTO DAS SETE MOCAS,28.470-000,SANTO ANTÔNIO DE PÁDUA,22 38512158,"42°11'02.51""","21°32'00.22""","-21.536586, -42.158250",4_blue,-21536592,-42158284,"7615783,19","794356,51",23K
63,CBA 04,DBM 3/21,FIM,SIM,DBM 3/21 - ITALVA,28/03/2002,40910,"1530,6",27,,,,AVENIDA ERIVELTON ALVES MARINHO,S/Nº,SÃO CAETANO,28.250-000,ITALVA,22 27832060,"41°41'33.05""","21°25'26.94""","-21.4317, -41.69185",4_blue,-21431705,-41691857,"7627676,97","220975,07",24K
64,CBA 04,DBM 4/21,FIM,SIM,DBM 4/21 - NATIVIDADE,16/07/2015,43255,"866,8",50,,,,RUA DOMICILIANO GOMES,S/Nº,NOSSA SENHORA APARECIDA,28380-000,NATIVIDADE,22 38414168,23.382-000,"21º04'68.79""","-21.04675, -41.97354",4_blue,-21046751,-41973547,"7669796,48","190955,47",24K
65,CBA 04,DBM 5/21,FIM,SIM,DBM 5/21 - BOM JESUS DO ITABAPOANA,27/01/2016,44100,"816,9",54,,,,RUA NAIR ALVES DE LIMA,S/Nº,LIA MÁRCIA,28.360-000,BOM JESUS DO ITABAPOANA,22 38315460,28.360-000,,"-21.1312060,-41.6723320",4_blue,-21131203,-41672164,"7660997,25","222453,61",24K
67,CBA 05,9º GBM,FIM,SIM,9º GBM - MACAÉ,10/10/1976,177263,"737,1",240,,,,RUA ALFREDO BECKER,604,MACAÉ,27.901-000,MACAÉ,22 27916852,"41°47'00.64""","22°22'18.64""","-22.37222, -41.78367",5_blue,-22372229,-41783676,"7523319,66","213341,85",24K
68,CBA 05,DBM 1/9,FIM,SIM,DBM 1/9 - CASIMIRO DE ABREU,21/07/2000,40520,"1559,6",26,,,,"Lot. Pedro Ratts, BR 101",KM 206,PARQUE INDUSTRIAL,28.860-000,CASIMIRO DE ABREU,22 27784025,"42°11'47.81""","22°28'32.69""","-22.475132, -42.196736",5_blue,-22475809,-42196645,"7511806,75","788471,46",23K
69,CBA 05,DBM 2/9,FIM,SIM,DBM 2/9 - RIO DAS OSTRAS,18/02/2014,115810,"258,4",448,,,,AVENIDA DO CONTORNO,KM 2,LOTEAMENTO ATLÂNTICO,28.890-000,RIO DAS OSTRAS,22 27714012,"41°55'37.75""","22°29'29.95""","-22.491827, -41.927211",5_blue,-22491632,-41927149,"7509809,74","198816,41",24K
70,CBA 05,PABM 1/9,FIM,SIM,PABM 1/9 - CONCEIÇÃO DE MACABU,02/02/2004,30773,1400,22,,,,AVENIDA VICTOR SENCE,297,PARAÍSO,28740-000,CONCEIÇÃO DE MACABU,22 27794564,"41º88'32.64""","22°07'69.42""","-22.07675, -41.88341",5_blue,-22076758,-41883418,"7555861,22","202440,86",24K
71,CBA 05,18º GBM,FIM,SIM,18º GBM - CABO FRIO,21/01/1981,146563,"108,8",1347,,,,AVENIDA NILO PEÇANHA,256,CENTRO,28.901-970,CABO FRIO,22 26475855,"42°00'55.62""","22°52'49.77""","-22.880574, -42.015500",5_blue,-22880554,-4201529,"7466599,48","806243,41",23K
72,CBA 05,DBM 1/18,FIM,SIM,DBM 1/18 - SÃO PEDRO D'ALDEIA,13/02/2001,267833,"655,8",408,,,,RODOVIA AMARAL PEIXOTO,KM 106,SÃO PEDRO D'ALDEIA,28.940-000,SÃO PEDRO DA ALDEIA,22 26272862,"42°05'57.40""","22°48'26.91""","-22.833876, -42.133648",5_blue,-22833839,-42133667,"7472016,76","794190,84",23K
