UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregiao,Microrregião Geográfica,Nome_Microrregião,Município,codIBGE,Nome_Municipio
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,03302,3303302,Niterói
33,Rio de Janeiro,3303,Petrópolis,330008,Nova Friburgo,03,Centro Fluminense,007,Nova Friburgo,03401,3303401,Nova Friburgo
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,03500,3303500,Nova Iguaçu
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,014,Vassouras,03609,3303609,Paracambi
33,Rio de Janeiro,3303,Petrópolis,330009,Três Rios - Paraíba do Sul,03,Centro Fluminense,005,Três Rios,03708,3303708,Paraíba do Sul
33,Rio de Janeiro,3301,Rio de Janeiro,330002,Angra dos Reis,05,Sul Fluminense,013,Baía da Ilha Grande,03807,3303807,Paraty
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330006,Valença,06,Metropolitana do Rio de Janeiro,014,Vassouras,03856,3303856,Paty do Alferes
33,Rio de Janeiro,3303,Petrópolis,330007,Petrópolis,06,Metropolitana do Rio de Janeiro,015,Serrana,03906,3303906,Petrópolis
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330004,Volta Redonda - Barra Mansa,05,Sul Fluminense,011,Vale do Paraíba Fluminense,03955,3303955,Pinheiral
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330004,Volta Redonda - Barra Mansa,05,Sul Fluminense,011,Vale do Paraíba Fluminense,04003,3304003,Piraí
33,Rio de Janeiro,3304,Campos dos Goytacazes,330011,Itaperuna,01,Noroeste Fluminense,001,Itaperuna,04102,3304102,Porciúncula
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330005,Resende,05,Sul Fluminense,011,Vale do Paraíba Fluminense,04110,3304110,Porto Real
33,Rio de Janeiro,3302,Volta Redonda - Barra Mansa,330005,Resende,05,Sul Fluminense,011,Vale do Paraíba Fluminense,04128,3304128,Quatis
33,Rio de Janeiro,3301,Rio de Janeiro,330001,Rio de Janeiro,06,Metropolitana do Rio de Janeiro,018,Rio de Janeiro,04144,3304144,Queimados
